council_id,ons_code,slug,name,type,county,region,principal_authority,source
37011,E04009851,angmering-parish-council,Angmering Parish Council,parish,West Sussex,South East,Arun,excel
6971,E04007133,angram-grange-parish-meeting,Angram Grange (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33323,E04006283,anmer-parish-meeting,Anmer Parish Meeting,parish_meeting,Norfolk,East of England,West Norfolk,excel
34413,E04007784,annesley-parish-council,Annesley Parish Council,parish,Nottinghamshire,East Midlands,Ashfield,excel
4734,E04008659,ansford-parish-council,Ansford Parish Council,parish,Somerset,South West,Somerset,excel
32269,E04004713,anstey-parish-council,Anstey Parish Council,parish,Hertfordshire,East of England,East Hertfordshire,excel
6516,E04009660,ansty-parish-council,Ansty Parish Council,parish,Warwickshire,West Midlands,Warwickshire,excel
33213,E04006386,antingham-parish-council,Antingham Parish Council,parish,Norfolk,East of England,North Norfolk,excel
3827,E04011401,antony-parish-council,Antony Parish Council,parish,Cornwall,South West,Cornwall,excel
30389,E04011039,antrobus-parish-council,Antrobus Parish Council,parish,Cheshire West and Chester,North West,Cheshire West and Chester,excel
32952,E04005776,anwick-parish-council,Anwick Parish Council,parish,Lincolnshire,East Midlands,North Kesteven,excel
35421,E04005957,apley-parish-council,Apley Parish Council,parish,Lincolnshire,East Midlands,West Lindsey,excel
30801,E04000537,appleby-town-council,Appleby Town Council,town,Cumbria,North West,Westmorland & Furness,excel
4946,,appledore,Appledore,parish,Kent,South East,Ashford,excel
32464,E04004825,appledore-parish-council,Appledore Parish Council,parish,Kent,South East,Ashford,excel
34550,,appleford-parish-council,Appleford Parish Council,parish,Oxfordshire,South East,Oxfordshire,excel
6804,E04007444,appleton-east-and-west-parish-meeting,Appleton East and West (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
6240,,appleton-le-moors,Appleton le Moors,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33530,E04007547,appleton-le-moors-parish-council,Appleton le Moors Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33918,,appleton-le-moors-parish-council-1,Appleton-le-moors Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33919,E04007548,appleton-le-street-with-easthorpe-parish-council,Appleton-le-street with Easthorpe Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
