council_id,slug,name,type,county,region,website_url,audit_status
32567,acrise-parish-council,Acrise Parish Council,parish,Kent,South East,,under_audit
32083,acton-beauchamp-group-parish-council,Acton Beauchamp Group Parish Council,parish,Herefordshire,West Midlands,,under_audit
,acton-beauchamp-parish,Acton Beauchamp,parish,,,,under_audit
30384,acton-bridge-parish-council,Acton Bridge Parish Council,parish,Cheshire West and Chester,North West,,under_audit
,acton-burnell-parish,Acton Burnell,parish,,,,under_audit
4813,acton-parish-council,Acton Parish Council,parish,Suffolk,East of England,https://www.actonparishcouncil.gov.uk,verified
36386,acton-round-parish-council,Acton Round Parish Council,parish,Shropshire,West Midlands,,under_audit
,acton-scott-parish,Acton Scott,parish,,,,under_audit
35153,acton-trussell-and-bednall-parish-council,Acton Trussell and Bednall Parish Council,parish,Staffordshire,West Midlands,,under_audit
,acton-turville-parish,Acton Turville,parish,,,,under_audit
,adbaston-parish,Adbaston,parish,,,https://adbastonparishcouncil.co.uk/,verified
34472,adderbury-parish-council,Adderbury Parish Council,parish,Oxfordshire,South East,https://www.adderburyparishcouncil.gov.uk,verified
5847,adderley-parish-council,Adderley Parish Council,parish,Shropshire,West Midlands,https://adderleyparish.co.uk/,under_audit
34264,adderstone-with-lucker-parish-council,Adderstone with Lucker Parish Council,parish,Northumberland,North East,https://www.adderstonewithluckerparish.gov.uk,verified
,addingham-parish,Addingham,parish,,,https://www.addingham-pc.gov.uk/,verified
30063,addington-meeting-parish-council,Addington (meeting) Parish Council,parish_meeting,Buckinghamshire,South East,,under_audit
5189,addington-parish-council,Addington Parish Council,parish,Kent,South East,https://www.addington-pc.gov.uk,verified
,addlethorpe-parish,Addlethorpe,parish,,,https://www.addlethorpeparishcouncil.gov.uk/,under_audit
,adforton-parish,Adforton,parish,,,,under_audit
4093,adisham,Adisham,parish,Kent,South East,https://www.adisham-pc.gov.uk,verified
31797,adlestrop-parish-meeting,Adlestrop Parish Meeting,parish_meeting,Gloucestershire,South West,,under_audit
30253,adlington-parish-council,Adlington Parish Council,parish,Cheshire,North West,https://www.adlington-pc.org.uk,verified
36659,admington-parish-council,Admington Parish Council,parish,Warwickshire,West Midlands,https://admingtonparishcouncil.gov.uk/,verified
3753,adstock-parish-council,Adstock Parish Council,parish,Buckinghamshire,South East,https://www.adstockparish.gov.uk,under_audit
34121,adstone-parish-meeting,Adstone Parish Meeting,parish_meeting,Northamptonshire,East Midlands,,under_audit
6067,advent-parish-meeting,Advent Parish Meeting,parish_meeting,Cornwall,South West,,under_audit
,adwell-parish,Adwell,parish,,,,under_audit
6944,adwick-on-dearne-parish-council,Adwick-on-Dearne Parish Council,parish,South Yorkshire,Yorkshire and the Humber,,under_audit
,adwick-upon-dearne-parish,Adwick upon Dearne,parish,,,,under_audit
,affpuddle-and-turnerspuddle-parish,Affpuddle and Turnerspuddle,parish,,,,under_audit
36387,agden-parish-council,Agden Parish Council,parish,,North West,,under_audit
32679,aighton-bailey-and-chaigley-parish-council,"Aighton, Bailey and Chaigley Parish Council",parish,Lancashire,North West,,under_audit
30682,aikton-parish-council,Aikton Parish Council,parish,Cumbria,North West,https://docslib.org/doc/5660206/map-of-cumbria,verified
4563,ailsworth-parish-council,Ailsworth Parish Council,parish,Cambridgeshire,East of England,https://www.ailsworth-pc.gov.uk,verified
35411,ainderby-miers-with-holtby-parish-council,Ainderby Miers with Holtby Parish Council,parish,North Yorkshire,Yorkshire and the Humber,https://www.parishcouncils.uk/parish-council/ainderby-miers-with-holtby-parish-council/,verified
6616,ainderby-quernhow-parish-meeting,Ainderby Quernhow (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,https://www.parishcouncils.uk/parish-council/ainderby-quernhow-parish-council/,verified
,ainderby-steeple-parish,Ainderby Steeple,parish,,,,under_audit
30797,ainstable-parish-council,Ainstable Parish Council,parish,Cumbria,North West,https://www.ainstable-pc.gov.uk,verified
34796,aintree-village-parish-council,Aintree Village Parish Council,parish,Sefton,North West,https://aintreevillageparishcouncil.gov.uk/,verified
31303,airmyn-parish-council,Airmyn Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,https://airmynpc.org.uk,under_audit_with_url
,airton-parish,Airton,parish,,,,under_audit
,aiskew-and-leeming-bar-parish,Aiskew and Leeming Bar,parish,,,,under_audit
33523,aislaby-middleton-and-wrelton-parish-council,"Aislaby, Middleton and Wrelton Parish Council",parish,North Yorkshire,Yorkshire and the Humber,https://huttonlehole.org.uk/,verified
4689,aislaby,Aislaby,parish,North Yorkshire,Yorkshire and the Humber,https://www.aislabyparishcouncil.gov.uk,verified
,aisthorpe-parish,Aisthorpe,parish,,,,under_audit
35412,akebar-parish-council,Akebar Parish Council,parish,North Yorkshire,Yorkshire and the Humber,https://www.constableburtonfinghall-pc.gov.uk/agendas,verified
,akeld-parish,Akeld,parish,,,,under_audit
3754,akeley-parish-council,Akeley Parish Council,parish,Buckinghamshire,South East,https://www.akeleyparishcouncil.gov.uk,verified
6770,akenham-parish-meeting,Akenham Parish Meeting,parish_meeting,Suffolk,East of England,https://www.parishcouncils.uk/parish-council/akenham-parish-council/,verified
,alberbury-with-cardeston-parish,Alberbury with Cardeston,parish,,,,under_audit
37052,albourne-parish-council,Albourne Parish Council,parish,West Sussex,South East,https://www.albourne-pc.gov.uk,under_audit_with_url
,albrighton-and-donington-parish,Albrighton and Donington,parish,,,,under_audit
4343,albrighton-donington-parish-council,Albrighton & Donington Parish Council,parish,Shropshire,West Midlands,https://www.albrightondonington-pc.gov.uk,verified
34820,albrighton-parish-council,Albrighton Parish Council,parish,Shropshire,West Midlands,https://albrightondonington-pc.gov.uk/parish-council/agendas-and-minutes,verified
6234,alburgh-parish-council,Alburgh Parish Council,parish,Norfolk,East of England,https://www.alburgh.org.uk/,verified
32268,albury-parish-council,Albury Parish Council,parish,Hertfordshire,East of England,https://alburyparishcouncil.gov.uk/,verified
33211,alby-with-thwaite-parish-council,Alby with Thwaite Parish Council,parish,Norfolk,East of England,https://www.hanworthparishcouncil.org.uk/page/9/,verified
36660,alcester-town-council,Alcester Town Council,town,Warwickshire,West Midlands,https://www.alcester-tc.gov.uk/council-meetings/annual-parish/agendas/,verified
6721,alciston-parish-meeting,Alciston Parish Meeting,parish_meeting,East Sussex,South East,https://www.chiddingly.gov.uk/working-group-on-over-development/,verified
30088,alconbury-parish-council,Alconbury Parish Council,parish,Cambridgeshire,East of England,https://www.alconburyparishcouncil.gov.uk,verified
30089,alconbury-weston-parish-council,Alconbury Weston Parish Council,parish,Cambridgeshire,East of England,https://www.alconburyweston-pc.gov.uk,verified
33417,aldborough-thurgarton-parish-council,Aldborough & Thurgarton Parish Council,parish,Norfolk,East of England,http://aldborough.org/podcast/july-2019/,verified
4854,aldbourne-parish-council,Aldbourne Parish Council,parish,Wiltshire,South West,https://www.aldbourne-pc.gov.uk,verified
31304,aldbrough-parish-council,Aldbrough Parish Council,parish,East Riding of Yorkshire,Yorkshire and the Humber,https://aldbroughparishcouncil.co.uk,verified
33524,aldbrough-st-john-parish-council,Aldbrough St John Parish Council,parish,North Yorkshire,Yorkshire and the Humber,https://www.aldbroughstjohnparishcouncil.gov.uk,verified
,aldbury-parish,Aldbury,parish,,,https://aldburyparishcouncil.gov.uk/,verified
32779,aldcliffe-with-stodday-parish-council,Aldcliffe-with-Stodday Parish Council,parish,Lancashire,North West,https://aldcliffewithstoddaypc.org/about-us-2/parish-clerk/,verified
,aldeburgh-parish,Aldeburgh,parish,,,,under_audit
4192,aldeby-parish-council,Aldeby Parish Council,parish,Norfolk,East of England,https://www.aldebyparishcouncil.gov.uk,verified
32318,aldenham-parish-council,Aldenham Parish Council,parish,Hertfordshire,East of England,https://aldenham-pc.gov.uk/,verified
4855,alderbury-parish-council,Alderbury Parish Council,parish,Wiltshire,South West,https://www.alderburyparishcouncil.gov.uk,verified
,aldercar-and-langley-mill-parish,Aldercar and Langley Mill,parish,,,,under_audit
,alderford-parish,Alderford,parish,,,,under_audit
,alderholt-parish,Alderholt,parish,,,https://www.alderholtparishcouncil.gov.uk/,verified
30254,alderley-edge-parish-council,Alderley Edge Parish Council,parish,Cheshire,North West,https://www.alderleyedge-pc.gov.uk,verified
31864,alderley-parish-meeting,Alderley Parish Meeting,parish_meeting,Gloucestershire,South West,https://www.overalderleyparishcouncil.gov.uk/2026/02/1767/,verified
,aldermaston-parish,Aldermaston,parish,,,https://aldermaston-pc.gov.uk/,verified
,alderminster-parish,Alderminster,parish,,,https://alderminster-pc.gov.uk/,verified
36388,aldersey-parish-council,Aldersey Parish Council,parish,Cheshire,North West,https://bunburyvillage.info/parish-council-notes/,verified
31916,alderton-parish-council,Alderton Parish Council,parish,Gloucestershire,South West,https://aldertonparishcouncil.gov.uk/,verified
,alderwasley-parish,Alderwasley,parish,,,https://alderwasleyparishcouncil.gov.uk/,verified
,aldfield-parish,Aldfield,parish,,,,under_audit
30462,aldford-and-saighton-parish-council,Aldford and Saighton Parish Council,parish,Cheshire West and Chester,North West,https://cheshireparishcouncils.co.uk/welcome/aldford-saighton-parish-council/aldford-saighton-parish-documents/,verified
30385,aldford-saighton-and-district-parish-council,Aldford Saighton and District Parish Council,parish,Cheshire West and Chester,North West,https://cheshireparishcouncils.co.uk/welcome/aldford-saighton-parish-council/aldford-saighton-parish-documents/,verified
6039,aldham-parish-council,Aldham Parish Council,parish,Suffolk,East of England,https://www.aldhamparishcouncil.gov.uk/,verified
,aldingbourne-parish,Aldingbourne,parish,,,https://aldingbourne-pc.gov.uk/,verified
30798,aldingham-parish-council,Aldingham Parish Council,parish,Cumbria,North West,https://www.aldinghamparishcouncil.gov.uk,verified
32463,aldington-bonnington-parish-council,Aldington & Bonnington Parish Council,parish,Kent,South East,https://www.aldingtonandbonnington-pc.gov.uk,verified
32568,aldington-parish-council,Aldington Parish Council,parish,Kent,South East,https://www.badseypc.uk/2025_05_21-agenda-2/,verified
,aldringham-cum-thorpe-parish,Aldringham cum Thorpe,parish,,,,under_audit
,aldsworth-parish,Aldsworth,parish,,,,under_audit
33525,aldwark-area-parish-council,Aldwark Area Parish Council,parish,North Yorkshire,Yorkshire and the Humber,https://www.tollerton.net/parish-council-aldwark,verified
,aldwark-parish-2,Aldwark,parish,,,,under_audit
,aldwick-parish,Aldwick,parish,,,https://aldwickparishcouncil.gov.uk/,verified
,aldwincle-parish,Aldwincle,parish,,,https://aldwincleparishcouncil.gov.uk/,verified
36947,aldworth-parish-council,Aldworth Parish Council,parish,West Berkshire,South East,https://www.aldworth-pc.gov.uk,verified
35320,alfold-parish-council,Alfold Parish Council,parish,Surrey,South East,https://alfoldparishcouncil.gov.uk/,verified
32947,alford-parish-council,Alford Parish Council,parish,Lincolnshire,East Midlands,https://huttoft.parish.lincolnshire.gov.uk/council-business/parish-council-minutes-meetings-2024-25/3,verified
,alfreton-parish,Alfreton,parish,,,,under_audit
,alfrick-parish,Alfrick,parish,,,,under_audit
,alfriston-parish,Alfriston,parish,,,,under_audit
,algarkirk-parish,Algarkirk,parish,,,https://www.algarkirkparishcouncil.gov.uk/,under_audit
33499,alkborough-parish-council,Alkborough Parish Council,parish,North Lincolnshire,Yorkshire and the Humber,https://www.alkboroughwalcotparishcouncil.gov.uk/contact/,verified
32526,alkham-parish-council,Alkham Parish Council,parish,Kent,South East,https://www.alkhamparishcouncil.org.uk,verified
31865,alkington-parish-council,Alkington Parish Council,parish,Gloucestershire,South West,https://www.alkingtonparishcouncil.gov.uk,verified
,alkmonton-parish,Alkmonton,parish,,,,under_audit
5368,all-cannings-parish-council,All Cannings Parish Council,parish,Wiltshire,South West,https://www.allcannings-pc.gov.uk,verified
,all-saints-and-st-nicholas-south-elmham-parish,"All Saints and St. Nicholas, South Elmham",parish,,,,under_audit
,all-saints-parish,All Saints,parish,,,https://www.all-saints.org.uk/,verified
,all-stretton-parish,All Stretton,parish,,,,under_audit
,allbrook-parish,Allbrook,parish,,,https://allbrook-pc.gov.uk/,verified
34265,allendale-parish-council,Allendale Parish Council,parish,Northumberland,North East,https://allendalediary.org/2019/04/04/allendale-parish-council/,verified
32084,allensmore-parish-council,Allensmore Parish Council,parish,Herefordshire,West Midlands,https://allensmore.org.uk/,verified
4394,aller-parish-council,Aller Parish Council,parish,Somerset,South West,https://www.allerparishcouncil.org/,verified
33526,allerston-and-wilton-parish-council,Allerston and Wilton Parish Council,parish,North Yorkshire,Yorkshire and the Humber,https://www.allerstonandwiltonparishcouncil.com/blog/agenda-for-the-meeting-of-allerston-wilton-parish-council-on-thursday-6th-november-at-730pm-at-allerston-village-hall,verified
33916,allerston-parish-council,Allerston Parish Council,parish,North Yorkshire,Yorkshire and the Humber,https://www.allerstonandwiltonparishcouncil.com/blog/agenda-for-the-meeting-of-allerston-wilton-parish-council-on-thursday-6th-november-at-730pm-at-allerston-village-hall,verified
,allerthorpe-parish,Allerthorpe,parish,,,https://allerthorpeparishcouncil.gov.uk/,verified
,allerton-bywater-parish,Allerton Bywater,parish,,,https://allertonbywaterparishcouncil.gov.uk/,under_audit
6618,allerton-mauleverer-with-hopperton-parish-meeting,Allerton Mauleverer with Hopperton (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,https://www.hampsthwaite.org.uk/parishcouncil/644,verified
,allesley-parish,Allesley,parish,,,,under_audit
,allexton-parish,Allexton,parish,,,,under_audit
30683,allhallows-parish-council,Allhallows Parish Council,parish,Cumbria,North West,https://www.allhallows-pc.gov.uk,verified
5369,allington-parish-council-1,Allington Parish Council,parish,Wiltshire,South West,https://www.allingtonboscombewilts-pc.gov.uk,verified
5202,allington-parish-council,Allington Parish Council,parish,Lincolnshire,East Midlands,https://www.allingtonpc.org.uk,verified
30799,allithwaite-and-cartmel-parish-council,Allithwaite and Cartmel Parish Council,parish,Cumbria,North West,https://www.allithwaiteandcartmel-pc.gov.uk,verified
30684,allonby-parish-council,Allonby Parish Council,parish,Cumbria,North West,https://www.allonby-pc.org.uk,verified
30386,allostock-parish-council,Allostock Parish Council,parish,Cheshire West and Chester,North West,https://allostockparishcouncil.gov.uk/,verified
32085,almeley-parish-council,Almeley Parish Council,parish,Herefordshire,West Midlands,https://almeleyparishcouncil.gov.uk/,verified
,almondsbury-parish,Almondsbury,parish,,,https://almondsburyparishcouncil.gov.uk/,verified
33527,alne-parish-council,Alne Parish Council,parish,North Yorkshire,Yorkshire and the Humber,https://www.alneparishcouncil.gov.uk,verified
,alnham-parish,Alnham,parish,,,,under_audit
34266,alnmouth-parish-council,Alnmouth Parish Council,parish,Northumberland,North East,https://northumberlandparishes.uk/warkworth/documents?page=22,verified
34267,alnwick-parish-council,Alnwick Parish Council,parish,Northumberland,North East,https://www.alnmouthparishcouncil.org.uk,verified
31656,alphamstone-parish-council,Alphamstone Parish Council,parish,Essex,East of England,https://parishcouncil.pebmarsh.com/?p=248,verified
5043,alpheton-parish-council,Alpheton Parish Council,parish,Suffolk,East of England,https://www.alphetonparish.gov.uk,verified
33418,alpington-parish-council,Alpington Parish Council,parish,Norfolk,East of England,https://berghapton.org.uk/agenda-for-parish-council-meeting-on-wednesday-5th-january-2022/,verified
6235,alpington-with-yelverton-parish-council,Alpington with Yelverton Parish Council,parish,Norfolk,East of England,https://berghapton.org.uk/village-hall/,verified
30255,alpraham-and-calveley-community-council,Alpraham and Calveley Community Council,community,Cheshire,North West,https://www.beestonparishcouncil.co.uk/parish-council-meeting-10-september-draft-minutes/,verified
36389,alpraham-parish-council,Alpraham Parish Council,parish,,North West,https://www.beestonparishcouncil.co.uk/parish-council-meeting-10-september-draft-minutes/,verified
31657,alresford-parish-council,Alresford Parish Council,parish,Essex,East of England,https://www.alresfordparishcouncil.gov.uk/,verified
4462,alrewas-parish-council,Alrewas Parish Council,parish,Staffordshire,West Midlands,https://www.alrewasparishcouncil.gov.uk/,verified
30256,alsager-town-council,Alsager Town Council,town,Cheshire,North West,https://www.alsagertowncouncil.gov.uk,verified
30800,alston-moor-parish-council,Alston Moor Parish Council,parish,Cumbria,North West,https://www.alstonmoorparish.gov.uk,verified
5282,alstonefield-parish-council-1,Alstonefield Parish Council,parish,Staffordshire,West Midlands,http://www.alstonefield.org/community/parish-council/,verified
4932,alstonefield-parish-council,Alstonefield Parish Council,parish,Derbyshire,East Midlands,https://alstonefield-pc.gov.uk/,verified
3826,altarnun-parish-council,Altarnun Parish Council,parish,Cornwall,South West,https://www.altarnunparishcouncil.gov.uk/,verified
,altham-parish,Altham,parish,,,,under_audit
,althorne-parish,Althorne,parish,,,https://althorneparishcouncil.gov.uk/,verified
34122,althorp-parish-meeting,Althorp Parish Meeting,parish_meeting,Northamptonshire,East Midlands,https://www.walgraveparishcouncil.gov.uk/cllr-tom-althorn,verified
,alton-pancras-parish,Alton Pancras,parish,,,,under_audit
4783,alton-parish-council-1,Alton Parish Council,parish,Staffordshire,West Midlands,http://www.altonstaffs.co.uk/community/parish-councils/,under_audit_with_url
5370,alton-parish-council-2,Alton Parish Council,parish,Wiltshire,South West,https://www.altonsandhoneystreet-pc.gov.uk/community/alton-parish-council-20251/home/,verified
5072,alton-parish-council,Alton Parish Council,parish,Derbyshire,East Midlands,https://www.alton.gov.uk/,verified
3595,alton-town-council,Alton Town Council,town,Hampshire,South East,https://www.alton.gov.uk/,verified
30387,alvanley-parish-council,Alvanley Parish Council,parish,Cheshire West and Chester,North West,https://alvanleyparishcouncil.gov.uk/,verified
37236,alvechurch-parish-council,Alvechurch Parish Council,parish,Worcestershire,West Midlands,https://www.alvechurch.gov.uk,verified
6774,alvediston-parish-meeting,Alvediston Parish Meeting,parish_meeting,Wiltshire,South West,https://www.bishopstone-pc.gov.uk/other-local-parish-councils/,verified
4344,alveley-and-romsley-parish-council,Alveley and Romsley Parish Council,parish,Shropshire,West Midlands,https://www.alveleyandromsley-pc.gov.uk,verified
34822,alveley-parish-council,Alveley Parish Council,parish,Shropshire,West Midlands,https://www.city-town.uk/civil-parish-alveley-shropshire.html,verified
,alverdiscott-parish,Alverdiscott,parish,,,,under_audit
7033,alverton-and-kilvington-parish-meeting,Alverton and Kilvington Parish Meeting,parish_meeting,Nottinghamshire,East Midlands,https://alverton.parish.uk/parish-council/,verified
35418,alverton-parish-council,Alverton Parish Council,parish,,East Midlands,https://alverton.parish.uk/parish-council/,verified
,alvescot-parish,Alvescot,parish,,,https://alvescotparishcouncil.gov.uk/,under_audit
,alveston-parish,Alveston,parish,,,https://www.alveston-pc.gov.uk/,verified
32949,alvingham-parish-council,Alvingham Parish Council,parish,Lincolnshire,East Midlands,https://utterby.parish.lincolnshire.gov.uk/council-business/2024-meeting-minutes/2,verified
31826,alvington-parish-council,Alvington Parish Council,parish,Gloucestershire,South West,https://alvingtonparishcouncil.gov.uk/,verified
30090,alwalton-parish-council,Alwalton Parish Council,parish,Cambridgeshire,East of England,https://stibbington.org.uk/draft-minutes-7th-march-2018/,verified
,alwington-parish,Alwington,parish,,,,under_audit
34268,alwinton-parish-council,Alwinton Parish Council,parish,Northumberland,North East,https://www.alwintonparishcouncil.gov.uk,verified
32784,alwoodley-parish-council,Alwoodley Parish Council,parish,Leeds,Yorkshire and the Humber,https://www.alwoodleyparishcouncil.gov.uk/,verified
,amber-hill-parish,Amber Hill,parish,,,,under_audit
37017,amberley-parish-council,Amberley Parish Council,parish,West Sussex,South East,https://amberley.org.uk/,verified
34397,amble-by-the-sea-parish-council,Amble by the Sea Parish Council,parish,Northumberland,North East,https://amble.gov.uk/2012/05/town-council-agenda-may-10th-2012/,verified
34269,amble-parish-council,Amble Parish Council,parish,Northumberland,North East,https://www.amble.gov.uk,verified
34473,ambrosden-parish-council,Ambrosden Parish Council,parish,Oxfordshire,South East,https://www.ambrosdenpc.org.uk,verified
33500,amcotts-parish-council,Amcotts Parish Council,parish,North Lincolnshire,Yorkshire and the Humber,http://amcottsparish.co.uk/sample-page/meetings/,verified
3536,amersham-town-council,Amersham Town Council,town,Buckinghamshire,South East,https://www.amersham-tc.gov.uk,verified
3720,amesbury-town-council,Amesbury Town Council,town,Wiltshire,South West,http://www.amesburytowncouncil.gov.uk,verified
5209,amotherby,Amotherby,parish,North Yorkshire,Yorkshire and the Humber,https://www.amotherby-pc.gov.uk,under_audit_with_url
,ampfield-parish,Ampfield,parish,,,,under_audit
4242,ampleforth,Ampleforth,parish,North Yorkshire,Yorkshire and the Humber,https://www.ampleforth-pc.gov.uk,verified
,ampney-crucis-parish,Ampney Crucis,parish,,,,under_audit
31798,ampney-st-mary-parish-meeting,Ampney St Mary Parish Meeting,parish_meeting,Gloucestershire,South West,https://meetings.cotswold.gov.uk/mgCommitteeMailingList.aspx?EM=1&ID=1184,verified
,ampney-st-peter-parish,Ampney St. Peter,parish,,,,under_audit
4944,amport-parish-council,Amport Parish Council,parish,Hampshire,South East,https://www.amporthantsparishcouncil.gov.uk,verified
30206,ampthill-parish-council,Ampthill Parish Council,parish,Central Bedfordshire,East of England,https://silsoeparishcouncil.org/spc-meeting-agenda/,verified
6200,ampton-little-livermere-timworth-parish-meeting,"Ampton, Little Livermere & Timworth Parish Meeting",parish_meeting,Suffolk,East of England,https://troston-pc.gov.uk/parish-council/,verified
,ampton-parish,Ampton,parish,,,,under_audit
5660,ancaster-parish-council,Ancaster Parish Council,parish,Lincolnshire,East Midlands,https://ancaster.parish.lincolnshire.gov.uk/council-business/2023-parish-council-meeting-agendas,verified
34270,ancroft-parish-council,Ancroft Parish Council,parish,Northumberland,North East,https://www.ancroftparishcouncil.gov.uk,verified
,anderby-parish,Anderby,parish,,,,under_audit
,anderson-parish,Anderson,parish,,,,under_audit
,anderton-parish,Anderton,parish,,,,under_audit
30388,anderton-with-marbury-parish-council,Anderton with Marbury Parish Council,parish,Cheshire West and Chester,North West,https://www.anderton-with-marbury-pc.gov.uk/,verified
6066,andover-town-council,Andover Town Council,town,Hampshire,South East,https://andover.org.uk/,verified
,andoversford-parish,Andoversford,parish,,,,under_audit
,angerton-parish,Angerton,parish,,,,under_audit
4784,anglesey-parish-council,Anglesey Parish Council,parish,Staffordshire,West Midlands,https://www.angleseystaffs-pc.gov.uk/,verified
,anglezarke-parish,Anglezarke,parish,,,,under_audit
37011,angmering-parish-council,Angmering Parish Council,parish,West Sussex,South East,https://www.angmering-pc.gov.uk,verified
6971,angram-grange-parish-meeting,Angram Grange (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,https://edemocracy.northyorks.gov.uk/mgParishCouncilDetails.aspx?bcr=1,verified
,anlaby-with-anlaby-common-parish,Anlaby with Anlaby Common,parish,,,,under_audit
33323,anmer-parish-meeting,Anmer Parish Meeting,parish_meeting,Norfolk,East of England,https://democracy.west-norfolk.gov.uk/mgParishCouncilDetails.aspx?bcr=1,verified
34413,annesley-parish-council,Annesley Parish Council,parish,Nottinghamshire,East Midlands,https://www.annesleyparishcouncil.gov.uk/,verified
,ansdell-parish,Ansdell,parish,,,,under_audit
4734,ansford-parish-council,Ansford Parish Council,parish,Somerset,South West,https://www.ansford-pc.gov.uk,verified
,ansley-parish,Ansley,parish,,,,under_audit
,anslow-parish,Anslow,parish,,,,under_audit
32269,anstey-parish-council,Anstey Parish Council,parish,Hertfordshire,East of England,https://www.ansteypc.org.uk/,verified
,ansty-and-staplefield-parish,Ansty and Staplefield,parish,,,,under_audit
6516,ansty-parish-council,Ansty Parish Council,parish,Warwickshire,West Midlands,https://www.hurstpierpoint-pc.gov.uk/planning-committee/,verified
33213,antingham-parish-council,Antingham Parish Council,parish,Norfolk,East of England,https://www.parishcouncils.uk/parish-council/antingham-parish-council/,verified
3827,antony-parish-council,Antony Parish Council,parish,Cornwall,South West,https://www.antonyparishcouncil.org.uk/,verified
30389,antrobus-parish-council,Antrobus Parish Council,parish,Cheshire West and Chester,North West,https://duttonparishcouncil.co.uk/minutes-may-2025/,verified
32952,anwick-parish-council,Anwick Parish Council,parish,Lincolnshire,East Midlands,https://anwick.parish.lincolnshire.gov.uk/council-business/2024-parish-council-minutes-meetings/5,verified
,apethorpe-parish,Apethorpe,parish,,,,under_audit
