id,slug,council_name,type,county,district,region,website,data_source,ons_code
ons-E04005714,roughton-parish-council,Roughton Parish Council,parish,,,,,ons,E04005714
ons-E04005881,billingborough-parish-council,Billingborough Parish Council,parish,,,,,ons,E04005881
ons-E04005899,dowsby-parish-council,Dowsby Parish Council,parish,,,,,ons,E04005899
ons-E04005900,dunsby-parish-council,Dunsby Parish Council,parish,,,,,ons,E04005900
ons-E04005902,edenham-parish-council,Edenham Parish Council,parish,,,,,ons,E04005902
ons-E04005720,skendleby-parish-council,Skendleby Parish Council,parish,,,,,ons,E04005720
ons-E04005721,skidbrooke-with-saltfleet-haven-parish-council,Skidbrooke with Saltfleet Haven Parish Council,parish,,,,,ons,E04005721
ons-E04005904,folkingham-parish-council,Folkingham Parish Council,parish,,,,,ons,E04005904
ons-E04005908,great-ponton-parish-council,Great Ponton Parish Council,parish,,,,,ons,E04005908
ons-E04005909,greatford-parish-council,Greatford Parish Council,parish,,,,,ons,E04005909
ons-E04005727,south-willingham-parish-council,South Willingham Parish Council,parish,,,,,ons,E04005727
ons-E04005911,haconby-parish-council,Haconby Parish Council,parish,,,,,ons,E04005911
ons-E04005912,harlaxton-parish-council,Harlaxton Parish Council,parish,,,,,ons,E04005912
ons-E04005916,hough-on-the-hill-parish-council,Hough-on-the-Hill Parish Council,parish,,,,,ons,E04005916
ons-E04005917,hougham-parish-council,Hougham Parish Council,parish,,,,,ons,E04005917
ons-E04005919,irnham-parish-council,Irnham Parish Council,parish,,,,,ons,E04005919
ons-E04005920,kirkby-underwood-parish-council,Kirkby Underwood Parish Council,parish,,,,,ons,E04005920
ons-E04005922,lenton-keisby-and-osgodby-parish-council,Lenton Keisby and Osgodby Parish Council,parish,,,,,ons,E04005922
ons-E04005923,little-bytham-parish-council,Little Bytham Parish Council,parish,,,,,ons,E04005923
ons-E04005925,londonthorpe-and-harrowby-without-parish-council,Londonthorpe and Harrowby Without Parish Council,parish,,,,,ons,E04005925
ons-E04005926,long-bennington-parish-council,Long Bennington Parish Council,parish,,,,,ons,E04005926
ons-E04005929,morton-hanthorpe-parish-council,Morton & Hanthorpe Parish Council,parish,,,,,ons,E04005929
ons-E04005932,old-somerby-parish-council,Old Somerby Parish Council,parish,,,,,ons,E04005932
ons-E04006135,kilverstone-parish-council,Kilverstone Parish Council,parish,,,,,ons,E04006135
ons-E04006149,narford-parish-council,Narford Parish Council,parish,,,,,ons,E04006149
ons-E04006160,quidenham-parish-council,Quidenham Parish Council,parish,,,,,ons,E04006160
ons-E04006162,rocklands-parish-council,Rocklands Parish Council,parish,,,,,ons,E04006162
ons-E04005982,east-stockwith-parish-council,East Stockwith Parish Council,parish,,,,,ons,E04005982
ons-E04006082,hemswell-cliff-parish-council,Hemswell Cliff Parish Council,parish,,,,,ons,E04006082
ons-E04006167,scoulton-parish-council,Scoulton Parish Council,parish,,,,,ons,E04006167
ons-E04006333,nordelph-parish-council,Nordelph Parish Council,parish,,,,,ons,E04006333
ons-E04006234,horstead-with-stanninghall-parish-council,Horstead with Stanninghall Parish Council,parish,,,,,ons,E04006234
ons-E04006188,weasenham-all-saints-parish-council,Weasenham All Saints Parish Council,parish,,,,,ons,E04006188
ons-E04006033,pilham-parish-council,Pilham Parish Council,parish,,,,,ons,E04006033
ons-E04006334,north-creake-parish-council,North Creake Parish Council,parish,,,,,ons,E04006334
ons-E04005985,fillingham-parish-council,Fillingham Parish Council,parish,,,,,ons,E04005985
ons-E04006034,rand-parish-council,Rand Parish Council,parish,,,,,ons,E04006034
ons-E04006335,north-runcton-parish-council,North Runcton Parish Council,parish,,,,,ons,E04006335
ons-E04006088,beachamwell-parish-council,Beachamwell Parish Council,parish,,,,,ons,E04006088
ons-E04006290,brancaster-parish-council,Brancaster Parish Council,parish,,,,,ons,E04006290
ons-E04006037,riseholme-parish-council,Riseholme Parish Council,parish,,,,,ons,E04006037
ons-E04006192,wendling-parish-council,Wendling Parish Council,parish,,,,,ons,E04006192
ons-E04006092,billingford-parish-council,Billingford Parish Council,parish,,,,,ons,E04006092
ons-E04006093,bintree-parish-council,Bintree Parish Council,parish,,,,,ons,E04006093
ons-E04006096,brettenham-parish-council,Brettenham Parish Council,parish,,,,,ons,E04006096
ons-E04006102,cockley-cley-parish-council,Cockley Cley Parish Council,parish,,,,,ons,E04006102
ons-E04006103,colkirk-parish-council,Colkirk Parish Council,parish,,,,,ons,E04006103
ons-E04006105,cranworth-parish-council,Cranworth Parish Council,parish,,,,,ons,E04006105
ons-E04006112,foxley-parish-council,Foxley Parish Council,parish,,,,,ons,E04006112
ons-E04006113,fransham-parish-council,Fransham Parish Council,parish,,,,,ons,E04006113
ons-E04006118,great-cressingham-parish-council,Great Cressingham Parish Council,parish,,,,,ons,E04006118
ons-E04006119,great-dunham-parish-council,Great Dunham Parish Council,parish,,,,,ons,E04006119
ons-E04006122,griston-parish-council,Griston Parish Council,parish,,,,,ons,E04006122
ons-E04006124,hardingham-parish-council,Hardingham Parish Council,parish,,,,,ons,E04006124
ons-E04006126,hilborough-parish-council,Hilborough Parish Council,parish,,,,,ons,E04006126
ons-E04006130,holme-hale-parish-council,Holme Hale Parish Council,parish,,,,,ons,E04006130
ons-E04006292,burnham-norton-parish-council,Burnham Norton Parish Council,parish,,,,,ons,E04006292
ons-E04005990,glentham-parish-council,Glentham Parish Council,parish,,,,,ons,E04005990
ons-E04005992,goltho-parish-council,Goltho Parish Council,parish,,,,,ons,E04005992
ons-E04006195,wretham-parish-council,Wretham Parish Council,parish,,,,,ons,E04006195
ons-E04013161,great-ellingham-parish-council,Great Ellingham Parish Council,parish,,,,,ons,E04013161
ons-E04006198,alderford-parish-council,Alderford Parish Council,parish,,,,,ons,E04006198
ons-E04006199,attlebridge-parish-council,Attlebridge Parish Council,parish,,,,,ons,E04006199
ons-E04006200,aylsham-parish-council,Aylsham Parish Council,parish,,,,,ons,E04006200
ons-E04006204,blickling-parish-council,Blickling Parish Council,parish,,,,,ons,E04006204
ons-E04006210,burgh-and-tuttington-parish-council,Burgh and Tuttington Parish Council,parish,,,,,ons,E04006210
ons-E04006212,cantley-limpenhoe-and-southwood-parish-council,"Cantley, Limpenhoe and Southwood Parish Council",parish,,,,,ons,E04006212
ons-E04006217,felthorpe-parish-council,Felthorpe Parish Council,parish,,,,,ons,E04006217
ons-E04006221,great-and-little-plumstead-parish-council,Great and Little Plumstead Parish Council,parish,,,,,ons,E04006221
ons-E04006223,guestwick-parish-council,Guestwick Parish Council,parish,,,,,ons,E04006223
ons-E04006225,halvergate-parish-council,Halvergate Parish Council,parish,,,,,ons,E04006225
ons-E04006228,hemblington-parish-council,Hemblington Parish Council,parish,,,,,ons,E04006228
ons-E04006344,ryston-parish-council,Ryston Parish Council,parish,,,,,ons,E04006344
ons-E04006345,sandringham-parish-council,Sandringham Parish Council,parish,,,,,ons,E04006345
ons-E04006295,castle-acre-parish-council,Castle Acre Parish Council,parish,,,,,ons,E04006295
ons-E04006178,stow-bedon-and-breckles-parish-council,Stow Bedon and Breckles Parish Council,parish,,,,,ons,E04006178
ons-E04006297,choseley-parish-council,Choseley Parish Council,parish,,,,,ons,E04006297
ons-E04006043,scotter-parish-council,Scotter Parish Council,parish,,,,,ons,E04006043
ons-E04006348,shouldham-parish-council,Shouldham Parish Council,parish,,,,,ons,E04006348
ons-E04006351,south-creake-parish-council,South Creake Parish Council,parish,,,,,ons,E04006351
ons-E04006352,southery-parish-council,Southery Parish Council,parish,,,,,ons,E04006352
ons-E04006362,tilney-all-saints-parish-council,Tilney All Saints Parish Council,parish,,,,,ons,E04006362
ons-E04006364,titchwell-parish-council,Titchwell Parish Council,parish,,,,,ons,E04006364
ons-E04006365,tottenhill-parish-council,Tottenhill Parish Council,parish,,,,,ons,E04006365
ons-E04006371,watlington-parish-council,Watlington Parish Council,parish,,,,,ons,E04006371
ons-E04005996,great-limber-parish-council,Great Limber Parish Council,parish,,,,,ons,E04005996
ons-E04006303,docking-parish-council,Docking Parish Council,parish,,,,,ons,E04006303
ons-E04006046,sixhills-parish-council,Sixhills Parish Council,parish,,,,,ons,E04006046
ons-E04006304,downham-market-parish-council,Downham Market Parish Council,parish,,,,,ons,E04006304
ons-E04006251,stratton-strawless-parish-council,Stratton Strawless Parish Council,parish,,,,,ons,E04006251
ons-E04006047,snarford-parish-council,Snarford Parish Council,parish,,,,,ons,E04006047
ons-E04006305,downham-west-parish-council,Downham West Parish Council,parish,,,,,ons,E04006305
ons-E04006257,upton-with-fishley-parish-council,Upton with Fishley Parish Council,parish,,,,,ons,E04006257
ons-E04006262,ashby-with-oby-parish-council,Ashby with Oby Parish Council,parish,,,,,ons,E04006262
ons-E04006265,burgh-castle-parish-council,Burgh Castle Parish Council,parish,,,,,ons,E04006265
ons-E04006273,mautby-parish-council,Mautby Parish Council,parish,,,,,ons,E04006273
ons-E04006002,hemswell-parish-council,Hemswell Parish Council,parish,,,,,ons,E04006002
